| Port number | Status |
| 512 | Close |
| 1 | Close |
| 514 | Close |
| 515 | Close |
| 5 | Close |
| 518 | Close |
| 7 | Close |
| 520 | Close |
| 9 | Close |
| 11 | Close |
| 524 | Close |
| 13 | Close |
| 17 | Close |
| 18 | Close |
| 19 | Close |
| 20 | Close |
| 21 | Close |
| 22 | Open |
| 23 | Close |
| 25 | Close |
| 26 | Close |
| 540 | Close |
| 29 | Close |
| 542 | Close |
| 517 | Close |
| 544 | Close |
| 546 | Close |
| 35 | Close |
| 548 | Close |
| 37 | Close |
| 38 | Close |
| 39 | Close |
| 41 | Close |
| 42 | Close |
| 43 | Close |
| 556 | Close |
| 560 | Close |
| 49 | Close |
| 530 | Close |
| 563 | Close |
| 513 | Close |
| 53 | Close |
| 1080 | Close |
| 57 | Close |
| 67 | Close |
| 68 | Close |
| 69 | Close |
| 70 | Close |
| 587 | Close |
| 79 | Close |
| 80 | Close |
| 593 | Close |
| 88 | Close |
| 604 | Close |
| 702 | Close |
| 699 | Close |
| 101 | Close |
| 102 | Close |
| 103 | Close |
| 107 | Close |
| 108 | Close |
| 109 | Close |
| 110 | Close |
| 111 | Close |
| 113 | Close |
| 115 | Close |
| 117 | Close |
| 118 | Close |
| 119 | Close |
| 532 | Close |
| 123 | Close |
| 636 | Close |
| 533 | Close |
| 646 | Close |
| 135 | Close |
| 648 | Close |
| 137 | Close |
| 138 | Close |
| 139 | Close |
| 652 | Close |
| 706 | Close |
| 654 | Close |
| 143 | Close |
| 150 | Close |
| 665 | Close |
| 666 | Close |
| 156 | Close |
| 161 | Close |
| 162 | Close |
| 170 | Close |
| 179 | Close |
| 692 | Close |
| 695 | Close |
| 698 | Close |
| 543 | Close |
| 700 | Close |
| 701 | Close |
| 190 | Close |
| 194 | Close |
| 197 | Close |
| 711 | Close |
| 712 | Close |
| 201 | Close |
| 631 | Close |
| 720 | Close |
| 209 | Close |
| 547 | Close |
| 213 | Close |
| 218 | Close |
| 220 | Close |
| 550 | Close |
| 749 | Close |
| 750 | Close |
| 639 | Close |
| 554 | Close |
| 259 | Close |
| 264 | Close |
| 782 | Close |
| 691 | Close |
| 901 | Close |
| 561 | Close |
| 647 | Close |
| 311 | Close |
| 829 | Close |
| 318 | Close |
| 323 | Close |
| 569 | Close |
| 860 | Close |
| 873 | Close |
| 366 | Close |
| 369 | Close |
| 371 | Close |
| 384 | Close |
| 387 | Close |
| 389 | Close |
| 902 | Close |
| 396 | Close |
| 911 | Close |
| 401 | Close |
| 411 | Close |
| 525 | Close |
| 427 | Close |
| 443 | Close |
| 444 | Close |
| 445 | Close |
| 458 | Close |
| 674 | Close |
| 464 | Close |
| 465 | Close |
| 981 | Close |
| 531 | Close |
| 591 | Close |
| 989 | Close |
| 990 | Close |
| 991 | Close |
| 992 | Close |
| 993 | Close |
| 995 | Close |
| 500 | Close |
